,OS: macOS 13.7.2 | Browser: Chrome 131 | Resolution: 1680x1025 | Time: 18 Dec 2024 / 0:14:36  GMT+5:45

"#","Step","Data","Exp Result","Command","cssSelector"
"1","Open website","https://recruit.release.jobins.net/","","",""
"3","Click on ""ホーム""","","","driver.findElement(By.xpath(""//body/header[@class='fixed z-50 w-full transition-all duration-300 top-0 mdl:top-[3.5rem]']/div[1]/div[1]/div[1]/div[1]/a[1]""))","driver.findElement(By.cssSelector(""body > header:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > a:nth-child(1) > span:nth-child(1)""))"
"4","Click on ""JoBinsについて""","","","driver.findElement(By.xpath(""//span[contains(@class,'text-[#03275A] border-transparent')][contains(text(),'JoBinsについて')]""))","driver.findElement(By.cssSelector(""body > header:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > a:nth-child(2) > span:nth-child(1)""))"
"5","Click on ""メンバー紹介""","","","driver.findElement(By.xpath(""//span[contains(@class,'text-[#03275A] border-transparent')][contains(text(),'メンバー紹介')]""))","driver.findElement(By.cssSelector(""body > header:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > a:nth-child(3) > span:nth-child(1)""))"
"6","Click on ""働き方""","","","driver.findElement(By.xpath(""//span[contains(@class,'text-[#03275A] border-transparent')][contains(text(),'働き方')]""))","driver.findElement(By.cssSelector(""body > header:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > a:nth-child(4) > span:nth-child(1)""))"
"7","Click on ""ホームJoBinsについてメンバー紹介働き方エントリー""","","","driver.findElement(By.xpath(""//div[contains(@class,'flex flex-1 items-center justify-end gap-2 sm:gap-8')]""))","driver.findElement(By.cssSelector(""body > header:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2)""))"
"8","Click on ""ホーム""","","","driver.findElement(By.xpath(""//span[contains(@class,'text-[#03275A] border-transparent')][contains(text(),'ホーム')]""))","driver.findElement(By.cssSelector(""body > header:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > a:nth-child(1) > span:nth-child(1)""))"
"9","Click on ""ホーム""","","","driver.findElement(By.xpath(""//span[contains(@class,'border-[#03275A] font-bold')]""))","driver.findElement(By.cssSelector(""body > header:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > a:nth-child(1) > span:nth-child(1)""))"
"10","Click on ""JoBinsについて""","","","driver.findElement(By.xpath(""//span[contains(@class,'text-[#03275A] border-transparent')][contains(text(),'JoBinsについて')]""))","driver.findElement(By.cssSelector(""body > header:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > a:nth-child(2) > span:nth-child(1)""))"
"11","Click on ""メンバー紹介""","","","driver.findElement(By.xpath(""//span[contains(@class,'border-[#03275A] font-bold')]""))","driver.findElement(By.cssSelector(""body > header:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > a:nth-child(3) > span:nth-child(1)""))"
"12","Click on ""働き方""","","","driver.findElement(By.xpath(""//span[contains(@class,'text-[#03275A] border-transparent')][contains(text(),'働き方')]""))","driver.findElement(By.cssSelector(""body > header:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > a:nth-child(4) > span:nth-child(1)""))"
